# Export texte de la base — tables par modèle
Généré: 2025-08-14 17:22:02
Fichier source: /Users/HouDa/PycharmProjects/ParcInfo/export_all_tables.json

## Résumé
• Modèles: 20
• Enregistrements: 2089
• Répartition par modèle:
  - auth.group: 4
  - chatbot.chatbotinteraction: 1470
  - chatbot.chatmessage: 14
  - chatbot.documentvector: 307
  - chatbot.intentexample: 3
  - commande_bureau.commandebureau: 1
  - commande_bureau.descriptionbureau: 96
  - commande_bureau.designationbureau: 26
  - commande_bureau.lignecommandebureau: 1
  - commande_informatique.commande: 2
  - commande_informatique.description: 64
  - commande_informatique.designation: 28
  - commande_informatique.lignecommande: 3
  - demande_equipement.archivedecharge: 5
  - demande_equipement.demandeequipement: 10
  - fournisseurs.fournisseur: 42
  - livraison.livraison: 3
  - materiel_bureautique.materielbureau: 1
  - materiel_informatique.materielinformatique: 5
  - users.customuser: 4

## Détails par modèle

Model: auth.group  (rows: 4)
|--|-------------------------|------------------------------------------------------------|
|pk|name                     |permissions                                                 |
|--|-------------------------|------------------------------------------------------------|
|1 |Super Admin              |[1, 2, 3, 4, 9, 10, 11, 12, 5, 6, 7, 8, 53, 54, 55, 56, 57,…|
|2 |Gestionnaire Informatique|[]                                                          |
|3 |Gestionnaire Bureau      |[]                                                          |
|4 |Employe                  |[]                                                          |
|--|-------------------------|------------------------------------------------------------|

Model: chatbot.chatbotinteraction  (rows: 1470)
|----|--------------------------|------------------------------------------------------------|-----------|---------------------|-------------|-----------|------------------------|------------------------------------------------------------|
|pk  |detected_intent           |final_response                                              |rag_results|session_id           |sql_attempted|sql_results|timestamp               |user_query                                                  |
|----|--------------------------|------------------------------------------------------------|-----------|---------------------|-------------|-----------|------------------------|------------------------------------------------------------|
|1   |null                      |📋 **Fournisseurs disponibles:**\n\n1. **WANA CORPORATE SA**…|0          |default              |False        |0          |2025-08-07T17:33:17.284Z|Liste des fournisseurs                                      |
|2   |null                      |🚚 **Livraisons (champs réels):**\n\n• **Commande AOO2025**\…|0          |default              |False        |0          |2025-08-07T17:47:50.054Z|Livraisons à venir                                          |
|3   |null                      |ℹ️ Je peux répondre aux questions sur:\n- Fournisseurs\n- C…|0          |default              |False        |0          |2025-08-07T18:00:41.066Z|Matériel en service                                         |
|4   |null                      |ℹ️ Je peux répondre aux questions sur:\n- Fournisseurs\n- C…|0          |default              |False        |0          |2025-08-07T18:00:42.513Z|Commandes récentes                                          |
|5   |null                      |🚚 **Livraisons:**\n\n• **Livraison #5**\n  - Commande: AOO2…|0          |default              |False        |0          |2025-08-07T18:00:44.005Z|Livraisons à venir                                          |
|6   |null                      |ℹ️ Je peux répondre aux questions sur:\n- Fournisseurs\n- C…|0          |default              |False        |0          |2025-08-07T18:00:55.026Z|code inventaire  de baie                                    |
|7   |null                      |🚚 **Livraisons (via modèle Django):**\n\n• **Commande AOO20…|0          |default              |False        |0          |2025-08-07T18:06:21.464Z|Livraisons à venir                                          |
|8   |null                      |📋 **Modèles Django disponibles:**\n• **Fournisseur** (nom, …|0          |default              |False        |0          |2025-08-07T18:06:40.582Z|code inventaire de baie                                     |
